"LastProcessedDate","Date","Emissions_Scope_Category","Emission_Activity_Category","Target_Renewable_Energy_Percentage","Total_Floor_Area_sqft","Target_Compensated_Emissions_tCO2e","Forecasted_Renewable_Energy_Cons","Forecasted_Emissions_Intensity_Reduc","Forecasted_Emissions_tCO2e","Actual_Renewable_Energy_Cons","Net_Emissions_Forecast_tCO2e","Headcount","Planned_Supplier_Emissions_Reduction","Required_Carbon_Credits_tCO2e","Actual_Emissions_Intensity","Planned_Carbon_Credits_tCO2e","Revenue","Planned_Operational_Emissions_Reduction","Final_Forecasted_Emissions_tCO2e","Actual_Emissions_tCO2e","Target_Emissions_tCo2e"
"2023-02-24","2040-04-10","Scope 3","Commercial Building",0,150000,0,200000,20,150000,,200000,250,150000,150000,15,0,250,100000,100000,,
"2023-02-24","2034-10-23","Scope 1","Private Jet",10,150000,150000,,50,50000,,0,350,100000,0,30,250000,200,,150000,,200000
"2023-02-24","2036-04-24","Scope 2","Data Center",30,50000,250000,100000,,0,,150000,100,50000,200000,25,100000,200,200000,250000,,100000
"2023-02-24","2031-09-13","Scope 1","Fleet Vehicles",,200000,,0,10,200000,,250000,200,,50000,0,,150,150000,150000,,150000
"2023-02-24","2022-12-07","Scope 3","Scope 3 Upstream Transportation Distribution",15,250000,250000,150000,,,70,50000,100,,,,,350,200000,100000,50000,
"2023-02-24","2038-08-22","Scope 2","Commercial Building",20,200000,200000,100000,0,250000,,200000,350,250000,100000,15,50000,200,0,0,,250000
"2023-02-24","2030-11-24","Scope 1","Commercial Building",20,100000,100000,100000,40,100000,,150000,300,200000,250000,20,200000,200,,0,,0
"2023-02-24","2041-08-17","Scope 2","Data Center",0,100000,50000,,30,,,,50,0,,25,150000,200,100000,50000,,50000
"2023-02-24","2020-05-22","Scope 3","Scope 3 Uncategorized Emissions",,200000,150000,250000,,,70,0,150,,,10,,200,50000,,100000,
"2023-02-24","2039-12-05","Scope 1","Fleet Vehicles",30,250000,0,0,40,100000,,100000,250,50000,100000,30,0,200,250000,100000,,150000
"2023-02-24","2037-04-13","Scope 3","Scope 3 Investments",15,50000,200000,200000,50,,,200000,50,,250000,25,50000,250,150000,200000,,250000
"2023-02-24","2028-05-20","Scope 2","Data Center",10,150000,0,150000,20,200000,,0,250,100000,0,30,100000,150,200000,150000,,0
"2023-02-24","2022-05-18","Scope 2","Private Jet",30,50000,,50000,,,,250000,300,,,0,,200,,150000,,
"2023-02-24","2037-06-08","Scope 3","Scope 3 Investments",0,250000,100000,100000,30,50000,,100000,350,150000,200000,20,250000,200,50000,250000,,200000
"2023-02-24","2039-01-19","Scope 1","Commercial Building",20,200000,250000,200000,,0,,,200,0,150000,,,250,250000,0,,100000
"2023-02-24","2028-03-06","Scope 2","Fleet Vehicles",15,150000,50000,0,10,150000,,150000,150,200000,,10,200000,150,100000,,,50000
"2023-02-24","2034-09-06","Scope 3","Commercial Building",,100000,150000,50000,0,250000,,50000,100,250000,50000,15,150000,200,0,200000,,
"2023-02-24","2040-01-26","Scope 1","Private Jet",10,150000,100000,150000,50,50000,,100000,200,0,150000,15,0,200,50000,50000,,0
"2023-02-24","2030-12-20","Scope 3","Scope 3 Upstream Leased Assets",10,50000,50000,250000,,0,,,150,250000,0,20,50000,150,0,100000,,50000
"2023-02-24","2035-09-29","Scope 2","Commercial Building",15,200000,0,100000,0,250000,,250000,50,,200000,25,200000,200,200000,0,,100000
"2023-02-24","2036-08-23","Scope 1","Private Jet",,200000,250000,,10,,,50000,100,200000,,0,,200,100000,100000,,150000
"2023-02-24","2023-06-01","Scope 1","Data Center",20,100000,150000,0,30,100000,50,0,250,50000,50000,,100000,250,,250000,150000,
"2023-02-24","2026-10-17","Scope 2","Fleet Vehicles",30,250000,,100000,40,200000,,200000,350,150000,250000,30,250000,150,250000,200000,,250000
"2023-02-24","2031-02-10","Scope 3","Data Center",0,250000,200000,250000,20,150000,,150000,300,100000,100000,10,150000,150,150000,150000,,200000
"2023-02-24","2020-12-07","Scope 2","Data Center",30,50000,250000,,,,0,,300,,,20,,150,100000,50000,250000,
"2023-02-24","2038-06-27","Scope 1","Private Jet",,200000,0,200000,10,,,0,250,100000,,0,50000,200,50000,0,,50000
"2023-02-24","2025-02-21","Scope 3","Scope 3 Business Travel",15,150000,,150000,,200000,,250000,150,250000,50000,25,150000,150,0,,,100000
"2023-02-24","2032-07-16","Scope 1","Data Center",0,100000,200000,50000,50,100000,,200000,100,50000,0,15,200000,200,200000,50000,,0
"2023-02-24","2041-01-30","Scope 3","Scope 3 Use of Sold Products",20,250000,100000,150000,40,50000,,150000,350,0,150000,30,0,250,150000,250000,,150000
"2023-02-24","2029-12-04","Scope 2","Commercial Building",10,200000,150000,100000,30,150000,,100000,200,200000,200000,,100000,200,250000,50000,,200000
"2023-02-24","2021-11-26","Scope 1","Commercial Building",15,150000,50000,200000,,,90,50000,50,,,10,,100,,0,50000,
"2023-02-24","2027-05-10","Scope 2","Fleet Vehicles",,100000,50000,50000,20,250000,,0,150,150000,250000,,250000,150,200000,200000,,250000
"2023-02-24","2024-01-16","Scope 3","Scope 3 Fuel and Energy-Related Activity",20,200000,100000,100000,0,0,,200000,300,,100000,10,,150,0,100000,,
"2023-02-24","2033-01-21","Scope 1","Data Center",10,50000,150000,,0,,,250000,200,100000,150000,25,150000,150,,,,
"2023-02-24","2026-03-07","Scope 2","Private Jet",30,200000,0,0,50,250000,,,100,150000,100000,30,0,150,50000,150000,,200000
"2023-02-24","2033-02-23","Scope 3","Scope 3 Downstream Leased Assets",0,150000,200000,250000,10,100000,,100000,50,200000,,15,50000,200,250000,100000,,250000
"2023-02-24","2020-11-18","Scope 2","Commercial Building",10,250000,,200000,,,20,150000,250,,,20,,350,150000,,200000,
"2023-02-24","2027-04-05","Scope 3","Scope 3 Downstream Transportation Distribution",20,50000,250000,100000,30,50000,,50000,350,,0,0,200000,150,100000,200000,,150000
"2023-02-24","2023-12-30","Scope 1","Fleet Vehicles",30,100000,200000,50000,,0,30,0,200,250000,250000,15,250000,300,250000,150000,0,100000
"2023-02-24","2040-05-19","Scope 2","Data Center",,50000,100000,250000,20,150000,,50000,350,50000,50000,20,100000,250,100000,250000,,0
"2023-02-24","2031-08-23","Scope 3","Fleet Vehicles",0,250000,50000,,40,200000,,,250,0,200000,,,200,200000,150000,,50000
"2023-02-24","2030-03-09","Scope 1","Private Jet",15,200000,150000,150000,20,0,,200000,50,50000,250000,25,0,150,50000,,,100000
"2023-02-24","2029-12-17","Scope 1","Commercial Building",0,100000,250000,0,10,,,100000,150,100000,150000,10,150000,150,150000,50000,,0
"2023-02-24","2039-10-13","Scope 2","Fleet Vehicles",20,150000,,,50,100000,,150000,300,250000,0,0,200000,200,0,0,,250000
"2023-02-24","2021-02-16","Scope 3","Private Jet",15,100000,0,150000,,,90,250000,100,,,30,,300,,100000,200000,
"2023-02-24","2036-11-30","Scope 3","Scope 3 Processing Sold Products",10,250000,250000,250000,30,150000,,0,350,200000,50000,30,100000,200,100000,0,,150000
"2023-02-24","2022-10-12","Scope 2","Private Jet",,200000,,100000,,,0,100000,250,,,,,350,0,250000,0,
"2023-02-24","2024-06-01","Scope 1","Data Center",30,150000,200000,200000,,50000,,50000,100,0,,25,,150,,200000,,
"2023-02-24","2038-07-19","Scope 3","Scope 3 Uncategorized Emissions",10,50000,0,0,0,250000,,250000,150,150000,200000,20,50000,250,150000,,,50000
"2023-02-24","2037-06-27","Scope 2","Fleet Vehicles",20,50000,150000,50000,40,200000,,150000,200,,100000,10,250000,200,200000,50000,,200000
"2023-02-24","2032-03-03","Scope 1","Commercial Building",,150000,50000,,50,250000,,,50,200000,,15,,150,250000,150000,,0
"2023-02-24","2041-08-10","Scope 3","Scope 3 Waste Generated in Operations",15,250000,100000,150000,30,,,200000,300,250000,150000,0,0,250,50000,50000,,50000
"2023-02-24","2025-12-18","Scope 2","Data Center",30,200000,,100000,40,150000,,150000,300,50000,250000,20,250000,150,250000,,,
"2023-02-24","2028-07-17","Scope 1","Fleet Vehicles",0,100000,200000,250000,0,100000,,250000,250,0,200000,,50000,150,,150000,,100000
"2023-02-24","2035-10-20","Scope 3","Scope 3 End-Life Treatment of Sold Product",10,50000,50000,200000,10,200000,,50000,50,,50000,15,150000,200,100000,0,,250000
"2023-02-24","2034-12-16","Scope 1","Commercial Building",20,200000,0,50000,,0,,0,350,150000,0,0,100000,150,50000,250000,,200000
"2023-02-24","2029-03-10","Scope 2","Private Jet",30,150000,250000,0,20,50000,,200000,200,100000,100000,30,200000,150,150000,200000,,150000
"2023-02-24","2041-11-26","Scope 2","Data Center",15,100000,100000,,20,200000,,,100,200000,200000,25,50000,250,200000,100000,,250000
"2023-02-24","2038-04-25","Scope 1","Fleet Vehicles",,250000,150000,0,30,100000,,100000,150,100000,250000,10,,200,0,100000,,100000
"2023-02-24","2040-01-01","Scope 3","Scope 3 Capital Goods",0,100000,150000,100000,50,50000,,100000,200,0,100000,0,250000,200,,150000,,150000
"2023-02-24","2031-01-15","Scope 2","Commercial Building",30,200000,100000,100000,40,0,,50000,300,50000,0,15,0,150,200000,50000,,200000
"2023-02-24","2032-10-12","Scope 3","Scope 3 Upstream Transportation Distribution",,50000,200000,250000,10,250000,,0,350,,50000,25,200000,200,100000,50000,,50000
"2023-02-24","2028-11-09","Scope 1","Private Jet",15,150000,,50000,0,150000,,200000,100,250000,150000,10,150000,150,50000,150000,,
"2023-02-24","2022-02-25","Scope 3","Scope 3 Employee Commuting",0,250000,0,200000,,,20,250000,150,,,,,200,0,,250000,
"2023-02-24","2025-06-16","Scope 1","Data Center",10,200000,50000,150000,,,,,250,150000,,30,100000,150,250000,0,,0
"2023-02-24","2036-08-16","Scope 2","Private Jet",20,200000,250000,250000,50,200000,,150000,50,0,100000,20,250000,200,150000,200000,,0
"2023-02-24","2037-12-08","Scope 2","Private Jet",15,150000,150000,100000,40,250000,,100000,50,50000,200000,25,0,200,100000,100000,,50000
"2023-02-24","2039-06-05","Scope 3","Scope 3 Franchising",30,250000,100000,150000,,150000,,250000,250,,150000,,,200,0,250000,,200000
"2023-02-24","2026-05-10","Scope 1","Fleet Vehicles",0,100000,50000,0,30,,,0,300,150000,0,30,100000,150,250000,150000,,
"2023-02-24","2035-03-23","Scope 1","Data Center",20,50000,200000,200000,20,100000,,150000,100,250000,,10,200000,200,50000,0,,150000
"2023-02-24","2030-05-28","Scope 3","Scope 3 Purchased Goods Services",10,50000,0,,10,0,,,150,200000,250000,0,50000,200,200000,150000,,250000
"2023-02-24","2027-06-23","Scope 2","Fleet Vehicles",,200000,,50000,0,50000,,200000,350,100000,50000,20,150000,150,150000,200000,,100000
"2023-02-24","2020-05-07","Scope 2","Commercial Building",30,250000,250000,50000,,,70,50000,200,,,15,,150,,,,
"2023-02-24","2024-06-30","Scope 1","Private Jet",0,150000,100000,150000,20,150000,,150000,200,,150000,25,150000,150,,250000,,
"2023-02-24","2034-05-12","Scope 3","Scope 3 Upstream Leased Assets",15,100000,200000,100000,0,200000,,,250,100000,250000,,200000,200,200000,100000,,50000
"2023-02-24","2033-07-18","Scope 1","Data Center",10,200000,150000,,50,250000,,50000,100,250000,,0,50000,150,250000,50000,,150000
"2023-02-24","2021-11-09","Scope 2","Fleet Vehicles",20,100000,50000,250000,,,,100000,150,,,10,,250,100000,,100000,
"2023-02-24","2023-09-12","Scope 3","Scope 3 Investments",,250000,0,0,40,0,50,0,300,0,0,15,,100,50000,200000,150000,250000
"2023-02-24","2029-07-23","Scope 2","Commercial Building",20,150000,,150000,10,100000,,200000,350,150000,50000,30,100000,150,150000,100000,,200000
"2023-02-24","2032-08-23","Scope 1","Commercial Building",0,150000,250000,200000,30,,,250000,50,200000,100000,20,250000,200,0,150000,,0
"2023-02-24","2030-01-21","Scope 3","Scope 3 Processing Sold Products",30,50000,50000,250000,,50000,,200000,300,50000,200000,10,0,150,200000,0,,100000
"2023-02-24","2024-05-08","Scope 2","Data Center",10,150000,0,100000,50,,,0,100,100000,100000,15,150000,150,0,250000,,50000
"2023-02-24","2020-06-24","Scope 1","Fleet Vehicles",,250000,100000,0,,,30,100000,200,,,,,250,,,50000,
"2023-02-24","2035-12-08","Scope 3","Scope 3 Employee Commuting",15,50000,150000,150000,40,0,,150000,250,150000,50000,0,,200,100000,50000,,
"2023-02-24","2031-08-08","Scope 2","Private Jet",20,100000,250000,200000,10,50000,,,350,200000,,25,250000,150,50000,,,200000
"2023-02-24","2028-01-20","Scope 1","Commercial Building",30,200000,,50000,30,150000,,50000,150,0,150000,20,200000,200,150000,100000,,0
"2023-02-24","2034-05-03","Scope 3","Scope 3 Capital Goods",,250000,200000,,20,200000,,250000,50,50000,250000,30,0,200,250000,150000,,250000
"2023-02-24","2027-11-06","Scope 1","Private Jet",10,50000,,200000,,250000,,0,300,,200000,10,50000,150,250000,250000,,150000
"2023-02-24","2038-08-17","Scope 2","Data Center",15,150000,150000,150000,0,100000,,200000,150,250000,0,30,100000,200,100000,,,100000
"2023-02-24","2039-07-30","Scope 3","Scope 3 Fuel and Energy-Related Activity",0,200000,250000,,0,0,,100000,350,50000,50000,15,100000,250,0,0,,100000
"2023-02-24","2040-02-07","Scope 3","Scope 3 Business Travel",,100000,50000,50000,30,200000,,250000,100,250000,150000,,,250,150000,50000,,150000
"2023-02-24","2021-05-17","Scope 1","Private Jet",10,50000,0,100000,,,0,,250,,,0,,150,,200000,100000,
"2023-02-24","2037-06-20","Scope 2","Fleet Vehicles",15,150000,100000,250000,20,,,50000,200,100000,0,25,200000,200,50000,100000,,
"2023-02-24","2033-01-24","Scope 2","Commercial Building",20,200000,200000,150000,10,250000,,150000,50,200000,250000,20,250000,150,200000,0,,250000
"2023-02-24","2025-10-19","Scope 1","Data Center",0,100000,200000,0,50,50000,,250000,50,,,15,150000,150,150000,200000,,0
"2023-02-24","2041-05-28","Scope 3","Commercial Building",30,200000,150000,,,150000,,150000,100,150000,100000,25,0,200,50000,250000,,200000
"2023-02-24","2026-06-28","Scope 1","Fleet Vehicles",20,250000,0,200000,40,100000,,,200,0,200000,,50000,150,0,150000,,50000
"2023-02-24","2023-09-04","Scope 3","Scope 3 End-Life Treatment of Sold Product",30,200000,250000,150000,10,50000,70,100000,350,150000,150000,10,250000,200,100000,0,,
"2023-02-24","2022-03-01","Scope 2","Private Jet",15,50000,,250000,,,50,0,250,,,20,,300,250000,100000,200000,
"2023-02-24","2036-09-24","Scope 3","Scope 3 Downstream Transportation Distribution",,100000,100000,50000,30,100000,,50000,150,50000,,30,0,200,200000,50000,,150000
"2023-02-24","2027-08-22","Scope 2","Data Center",0,150000,50000,0,40,250000,,200000,300,250000,250000,0,50000,200,,,,100000
"2023-02-24","2041-08-29","Scope 1","Fleet Vehicles",10,250000,200000,100000,50,,,50000,300,0,200000,20,,250,150000,50000,,250000
"2023-02-24","2023-03-26","Scope 3","Scope 3 Uncategorized Emissions",10,200000,150000,150000,20,150000,30,,100,,50000,25,100000,350,100000,150000,0,0
"2023-02-24","2034-10-16","Scope 1","Commercial Building",20,150000,50000,250000,,200000,,200000,350,100000,0,15,150000,200,50000,150000,,200000
"2023-02-24","2032-10-14","Scope 2","Private Jet",15,50000,250000,50000,0,0,,100000,200,200000,100000,30,200000,200,0,100000,,50000
"2023-02-24","2036-06-27","Scope 1","Data Center",,100000,,200000,10,0,,250000,50,,150000,0,150000,200,,250000,,200000
"2023-02-24","2031-12-31","Scope 3","Fleet Vehicles",0,250000,100000,0,0,50000,,150000,150,100000,0,,50000,150,200000,0,,250000
"2023-02-24","2029-03-07","Scope 2","Commercial Building",30,200000,0,100000,40,250000,,0,250,150000,,10,250000,150,250000,100000,,50000
"2023-02-24","2021-11-15","Scope 1","Fleet Vehicles",10,150000,200000,100000,,,90,50000,250,,,10,,100,0,,150000,
"2023-02-24","2025-10-21","Scope 3","Scope 3 Downstream Leased Assets",20,250000,250000,,50,,,100000,350,200000,50000,20,100000,150,250000,,,0
"2023-02-24","2039-04-14","Scope 2","Private Jet",,200000,0,50000,20,100000,,200000,300,0,100000,30,0,200,150000,200000,,100000
"2023-02-24","2024-12-23","Scope 3","Private Jet",30,100000,,,30,150000,,150000,200,250000,200000,15,,150,200000,50000,,150000
"2023-02-24","2020-03-12","Scope 2","Data Center",0,50000,150000,0,,,,,50,,,0,,300,100000,200000,50000,
"2023-02-24","2030-12-12","Scope 1","Fleet Vehicles",15,150000,100000,150000,,200000,,0,100,50000,250000,25,200000,200,50000,150000,,
"2023-02-24","2040-08-17","Scope 3","Scope 3 Purchased Goods Services",10,50000,50000,250000,,50000,,250000,150,100000,100000,,250000,200,,100000,,0
"2023-02-24","2035-03-08","Scope 1","Private Jet",30,250000,50000,100000,50,150000,,150000,350,250000,150000,0,150000,150,250000,150000,,50000
"2023-02-24","2026-04-02","Scope 2","Commercial Building",,150000,250000,100000,10,100000,,50000,150,,250000,,,150,0,150000,,150000
"2023-02-24","2022-05-04","Scope 3","Scope 3 Waste Generated in Operations",20,200000,150000,200000,,,20,,50,,,30,,150,200000,,250000,
"2023-02-24","2038-08-05","Scope 2","Data Center",0,100000,0,50000,30,250000,,100000,250,150000,50000,20,100000,200,100000,50000,,100000
"2023-02-24","2028-03-22","Scope 1","Commercial Building",15,100000,200000,,20,200000,,200000,200,0,,15,50000,150,,250000,,
"2023-02-24","2033-01-29","Scope 2","Fleet Vehicles",0,250000,100000,250000,0,,,250000,300,50000,200000,10,0,150,50000,0,,250000
"2023-02-24","2037-03-08","Scope 1","Private Jet",,150000,,0,40,0,,0,100,200000,0,25,200000,200,150000,150000,,200000
"2023-02-24","2031-09-30","Scope 3","Data Center",30,50000,0,150000,0,200000,,250000,50,250000,200000,15,250000,150,100000,100000,,0
"2023-02-24","2039-11-28","Scope 2","Data Center",10,200000,,200000,30,,,50000,100,,0,10,,250,150000,,,250000
"2023-02-24","2032-07-07","Scope 1","Commercial Building",20,200000,100000,100000,10,250000,,100000,250,100000,,0,150000,200,,250000,,100000
"2023-02-24","2022-12-27","Scope 3","Scope 3 Franchising",15,250000,50000,0,,,,150000,300,,,30,,100,50000,0,200000,
"2023-02-24","2029-03-24","Scope 2","Fleet Vehicles",,150000,200000,50000,40,50000,,,350,0,150000,20,200000,150,200000,50000,,50000
"2023-02-24","2033-02-17","Scope 3","Scope 3 Use of Sold Products",20,100000,150000,150000,,0,,200000,200,200000,100000,25,0,150,250000,200000,,200000
"2023-02-24","2037-01-13","Scope 1","Commercial Building",10,50000,250000,100000,20,150000,,0,150,150000,50000,,50000,200,0,,,
"2023-02-24","2023-03-03","Scope 2","Data Center",30,200000,250000,200000,50,100000,90,150000,50,50000,250000,30,100000,200,50000,250000,250000,150000
"2023-02-24","2034-04-07","Scope 1","Private Jet",15,50000,50000,250000,10,50000,,200000,150,150000,100000,20,200000,150,200000,0,,200000
"2023-02-24","2020-02-03","Scope 3","Scope 3 Upstream Transportation Distribution",0,150000,100000,,,,0,0,100,,,,,250,250000,100000,0,
"2023-02-24","2030-03-12","Scope 3","Scope 3 Uncategorized Emissions",30,100000,200000,250000,,200000,,,350,100000,,10,150000,150,,200000,,0
"2023-02-24","2028-10-03","Scope 1","Fleet Vehicles",,250000,0,0,50,150000,,50000,200,,200000,15,100000,150,0,150000,,250000
"2023-02-24","2036-07-23","Scope 2","Private Jet",15,100000,,200000,20,,,100000,300,250000,50000,25,250000,200,150000,150000,,
"2023-02-24","2025-11-09","Scope 3","Scope 3 Downstream Transportation Distribution",10,250000,150000,100000,0,100000,,250000,250,0,150000,0,,150,100000,50000,,100000
"2023-02-24","2038-02-11","Scope 2","Commercial Building",0,200000,,150000,40,0,,50000,50,50000,250000,25,0,250,150000,0,,150000
"2023-02-24","2041-04-05","Scope 1","Fleet Vehicles",20,200000,150000,,30,250000,,0,350,200000,0,0,50000,250,100000,100000,,50000
"2023-02-24","2027-04-27","Scope 3","Scope 3 Downstream Leased Assets",10,150000,200000,150000,40,200000,,150000,200,50000,,,200000,150,0,250000,,50000
"2023-02-24","2040-10-10","Scope 1","Data Center",0,50000,100000,50000,10,0,,250000,100,100000,250000,10,100000,250,200000,,,250000
"2023-02-24","2021-08-05","Scope 2","Commercial Building",,150000,250000,150000,,,20,100000,150,,,20,,350,250000,,50000,
"2023-02-24","2026-11-03","Scope 2","Data Center",15,250000,0,250000,30,150000,,,250,200000,0,30,50000,150,,0,,150000
"2023-02-24","2035-01-28","Scope 3","Scope 3 Franchising",20,50000,50000,200000,,250000,,200000,300,250000,50000,15,,200,50000,100000,,200000
"2023-02-24","2024-02-29","Scope 1","Private Jet",30,100000,,100000,20,,,,250,,150000,25,0,150,250000,200000,,
"2023-02-24","2027-06-20","Scope 3","Scope 3 Waste Generated in Operations",,200000,50000,,0,50000,,150000,50,0,100000,30,250000,150,100000,50000,,100000
"2023-02-24","2025-05-16","Scope 1","Private Jet",10,150000,150000,0,50,100000,,0,200,150000,200000,20,150000,150,,150000,,0
"2023-02-24","2023-12-22","Scope 2","Fleet Vehicles",20,100000,200000,50000,40,250000,50,50000,150,,0,,0,200,150000,50000,100000,150000
"2023-02-24","2021-01-03","Scope 3","Fleet Vehicles",15,50000,0,0,,,70,100000,100,,,10,,150,200000,0,,
"2023-02-24","2039-05-14","Scope 2","Data Center",0,250000,250000,,50,50000,,200000,300,250000,100000,15,,200,50000,100000,,200000
"2023-02-24","2028-03-02","Scope 1","Fleet Vehicles",30,200000,100000,50000,0,0,,250000,350,0,,0,200000,200,0,150000,,50000
"2023-02-24","2029-11-12","Scope 3","Scope 3 Capital Goods",0,50000,0,250000,10,150000,,250000,300,150000,250000,20,150000,150,200000,250000,,100000
"2023-02-24","2035-11-06","Scope 2","Private Jet",20,100000,200000,100000,30,200000,,50000,200,100000,50000,10,250000,200,0,,,0
"2023-02-24","2020-09-22","Scope 1","Commercial Building",10,250000,100000,200000,,,30,200000,50,,,25,,300,250000,150000,150000,
"2023-02-24","2032-04-12","Scope 1","Data Center",15,150000,50000,150000,20,100000,,,350,200000,150000,30,50000,200,,200000,,
"2023-02-24","2038-07-02","Scope 2","Commercial Building",30,200000,150000,150000,,,,100000,150,50000,200000,15,100000,200,150000,0,,250000
"2023-02-24","2026-07-03","Scope 3","Scope 3 Fuel and Energy-Related Activity",,200000,250000,0,30,150000,,150000,100,,50000,,50000,150,100000,200000,,50000
"2023-02-24","2037-04-04","Scope 3","Scope 3 Employee Commuting",30,250000,,150000,50,250000,,0,250,150000,150000,0,100000,250,50000,150000,,100000
"2023-02-24","2030-08-19","Scope 2","Fleet Vehicles",15,150000,50000,200000,0,0,,50000,50,200000,,10,,200,,0,,150000
"2023-02-24","2034-01-28","Scope 1","Commercial Building",10,200000,250000,250000,40,200000,,150000,150,50000,250000,30,0,200,100000,,,200000
"2023-02-24","2040-09-13","Scope 3","Scope 3 Upstream Leased Assets",,100000,0,,10,100000,,200000,250,250000,0,20,150000,250,0,50000,,250000
"2023-02-24","2031-08-18","Scope 1","Data Center",0,50000,150000,100000,,50000,,,200,0,200000,0,250000,150,200000,100000,,
"2023-02-24","2024-11-25","Scope 2","Fleet Vehicles",20,100000,,50000,20,,,100000,300,100000,100000,15,200000,150,50000,250000,,0
"2023-02-24","2036-03-17","Scope 1","Commercial Building",20,200000,100000,250000,30,100000,,0,100,250000,250000,25,100000,200,250000,0,,0
"2023-02-24","2022-12-07","Scope 2","Private Jet",10,50000,200000,0,,,30,250000,350,,,,,250,150000,250000,150000,
"2023-02-24","2041-06-13","Scope 3","Scope 3 Investments",15,150000,50000,200000,10,250000,,,100,150000,,30,150000,250,100000,50000,,200000
"2023-02-24","2033-02-04","Scope 2","Data Center",0,250000,100000,100000,40,150000,,0,250,100000,50000,25,250000,150,200000,150000,,100000
"2023-02-24","2025-07-12","Scope 3","Scope 3 Upstream Transportation Distribution",,250000,150000,,20,50000,,50000,50,0,0,,50000,150,,100000,,
"2023-02-24","2022-03-01","Scope 1","Private Jet",30,50000,250000,150000,,,90,100000,150,,,15,,350,0,200000,,
"2023-02-24","2038-10-24","Scope 2","Private Jet",,100000,,50000,0,0,,150000,350,200000,150000,20,200000,200,150000,,,250000
"2023-02-24","2026-06-28","Scope 3","Private Jet",20,200000,200000,250000,50,200000,,200000,200,,200000,10,,150,250000,100000,,50000
"2023-02-24","2041-12-26","Scope 1","Commercial Building",10,150000,0,50000,,,,250000,300,50000,100000,0,0,200,50000,0,,150000
"2023-02-24","2040-01-31","Scope 3","Scope 3 Business Travel",0,250000,,,,150000,,50000,200,100000,150000,25,250000,200,150000,150000,,
"2023-02-24","2034-02-04","Scope 1","Data Center",15,50000,250000,150000,20,100000,,,150,0,50000,,100000,200,250000,200000,,50000
"2023-02-24","2027-10-08","Scope 2","Fleet Vehicles",30,100000,100000,100000,40,50000,,200000,300,,200000,30,,150,200000,50000,,250000
"2023-02-24","2029-09-08","Scope 3","Data Center",20,200000,150000,200000,0,200000,,250000,100,50000,250000,0,200000,150,0,250000,,0
"2023-02-24","2028-01-05","Scope 2","Private Jet",10,150000,0,0,10,0,,100000,350,250000,100000,20,50000,150,100000,,,200000
"2023-02-24","2039-03-24","Scope 1","Commercial Building",0,100000,200000,,50,250000,,0,250,200000,,10,0,250,,200000,,150000
"2023-02-24","2030-07-10","Scope 1","Data Center",,50000,50000,0,30,,,150000,50,150000,0,15,150000,150,50000,0,,100000
"2023-02-24","2020-06-29","Scope 3","Commercial Building",30,200000,250000,50000,,,50,250000,300,,,30,,100,250000,,250000,
"2023-02-24","2023-03-25","Scope 2","Fleet Vehicles",15,150000,200000,250000,0,100000,0,200000,200,50000,50000,20,100000,200,50000,250000,50000,
"2023-02-24","2035-12-09","Scope 3","Scope 3 Processing Sold Products",10,250000,,150000,40,200000,,50000,250,200000,,10,250000,200,200000,100000,,200000
"2023-02-24","2037-03-03","Scope 2","Fleet Vehicles",15,50000,50000,100000,20,,,,50,0,0,25,0,200,0,50000,,150000
"2023-02-24","2024-02-13","Scope 1","Commercial Building",0,150000,100000,200000,30,50000,,150000,350,100000,200000,15,200000,150,,150000,,100000
"2023-02-24","2036-01-02","Scope 2","Private Jet",20,200000,0,50000,10,150000,,0,100,150000,250000,,50000,200,100000,150000,,0
"2023-02-24","2021-02-17","Scope 1","Data Center",30,100000,150000,150000,,,70,100000,150,,,0,,100,150000,0,0,
"2023-02-24","2033-10-28","Scope 3","Scope 3 End-Life Treatment of Sold Product",,250000,150000,0,50,250000,,200000,100,,150000,25,,200,250000,100000,,50000
"2023-02-24","2032-12-09","Scope 2","Commercial Building",20,150000,50000,150000,,0,,50000,200,250000,100000,0,150000,150,0,100000,,250000
"2023-02-24","2031-11-17","Scope 1","Private Jet",30,150000,0,100000,10,200000,,,250,100000,250000,10,,200,100000,,,200000
"2023-02-24","2032-12-24","Scope 3","Scope 3 Use of Sold Products",,50000,100000,200000,40,50000,,100000,50,250000,50000,30,250000,200,50000,250000,,50000
"2023-02-24","2034-03-20","Scope 2","Data Center",15,100000,200000,,20,100000,,150000,350,150000,200000,15,150000,150,,200000,,100000
"2023-02-24","2024-01-31","Scope 3","Scope 3 Purchased Goods Services",0,200000,,250000,30,0,,250000,150,200000,100000,20,100000,150,150000,50000,,150000
"2023-02-24","2035-05-21","Scope 1","Fleet Vehicles",10,250000,250000,,50,250000,,0,300,,150000,,200000,200,200000,150000,,250000
"2023-02-24","2020-07-16","Scope 2","Private Jet",15,200000,150000,0,,,,200000,150,,,10,,350,,200000,100000,
"2023-02-24","2038-03-08","Scope 3","Scope 3 Upstream Leased Assets",10,150000,100000,200000,0,150000,,50000,100,0,,,0,200,100000,150000,,
"2023-02-24","2028-03-13","Scope 1","Fleet Vehicles",20,250000,250000,150000,,,,0,250,50000,0,0,50000,150,0,150000,,0
