"ForecastStatus","ProductFamily","OwnerName","AccountId","ProductName","ExternalId","LastProcessedDate","Time","ParentName","AccountType","SalesAgreementName","Industry","DerivedStatus","AccountName","Plan","UnitPrice","Price","Forecast","Attainment","Actual"
"Active","Attachments","Cindy Central","0013h00000CPh76AAD","Pickup Broom PB100","Account.059","2020-06-19","2020-06-18","Advanced Communications","Mid-Market","Integrity Systems SA_Yearly12_2020-06-18","Technology","Pending Approval","Integrity Systems",37500,6900,6649,41956,102,42795
"Expired","Attachments","Vance Channel","0013h00000CPh5kAAD","Utility Broom UB1000","Account.010","2020-06-19","2019-11-07","Ohana Technologies","Partner","Acme Partners SA_Quarterly18_2019-11-07","Technology","Upcoming Renewal","Acme Partners",40000,4500,4354,54239,85,46103
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Utility Broom UB1000","Account.010","2020-06-19","2020-03-15","Ohana Technologies","Partner","Acme Partners SA_Monthly18_2020-03-15","Technology","Approved","Acme Partners",32500,4500,4327,36800,91,33488
"Expired","Attachments","Cindy Central","0013h00000CPh5nAAD","Trencher T48","Account.001","2020-06-19","2020-09-17","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Quarterly18_2020-09-17","Technology","Upcoming Renewal","Ohana Incorporated.",32500,6400,6108,44571,85,37885
"Active","Attachments","Ricky East","0013h00000CPh5mAAD","Hammer H500","Account.011","2020-06-19","2019-03-27","Advanced Communications","Mid-Market","Meridian Partners SA_Yearly18_2019-03-27","Technology","Approved","Meridian Partners",32500,4200,4032,39601,91,36037
"Expired","Attachments","Vance Channel","0013h00000CPh5uAAD","Pickup Broom PB200","Account.052","2020-06-19","2020-04-07","Ohana Technologies","Enterprise","Red Studio Designs SA_Monthly6_2020-04-07","Communications","Pending Approval","Red Studio Designs",12500,7500,6539,11577,108,12503
"Active","Attachments","Kasey Central","0013h00000CPh6yAAD","Ripper 37","Account.044","2020-06-19","2019-12-03","Ohana Technologies","Small Business","Wellspring, Inc. SA_Monthly12_2019-12-03","Financial Services","Approved","Wellspring, Inc.",40000,2000,1900,43848,105,46040
"Active","Attachments","Paul Partner","0013h00000CPh6xAAD","Pulverizer P20","Account.045","2020-06-19","2020-10-13","Ohana Technologies","Mid-Market","Momentum Design SA_Quarterly6_2020-10-13","Financial Services","Upcoming Renewal","Momentum Design",35000,4750,4552,39767,99,39369
"Expired","Attachments","Vance Channel","0013h00000CPh5kAAD","Backhoe Attachment R2","Account.010","2020-06-19","2019-04-21","Ohana Technologies","Partner","Acme Partners SA_Yearly6_2019-04-21","Technology","Upcoming Renewal","Acme Partners",35000,20500,19072,37350,110,41085
"Active","Attachments","Ely East","0013h00000CPh5tAAD","Sweeper S1000","Account.054","2020-06-19","2020-07-06","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Yearly12_2020-07-06","Manufacturing","Upcoming Renewal","Tech Labs",15000,7500,7396,17437,92,16042
"Expired","Attachments","Kasey Central","0013h00000CPh77AAD","Hammer H700","Account.046","2020-06-19","2019-05-14","Advanced Communications","Enterprise","Silodyne Company SA_Quarterly12_2019-05-14","Healthcare & Life Sciences","Pending Approval","Silodyne Company",17500,5750,5564,20739,89,18458
"Active","Attachments","Bill West","0013h00000CPh6hAAD","Trencher T36","Account.019","2020-06-19","2019-07-26","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Monthly18_2019-07-26","Consumer","Approved","Haven Enterprises",32500,6000,5121,38272,94,35976
"Active","Attachments","Cindy Central","0013h00000CPh76AAD","Backhoe Attachment R2","Account.059","2020-06-19","2019-10-15","Advanced Communications","Mid-Market","Integrity Systems SA_Monthly18_2019-10-15","Technology","Upcoming Renewal","Integrity Systems",35000,20500,18089,39336,102,40123
"Expired","Attachments","Vance Channel","0013h00000CPh5kAAD","Compactor 9000","Account.010","2020-06-19","2019-09-22","Ohana Technologies","Partner","Acme Partners SA_Quarterly6_2019-09-22","Technology","Approved","Acme Partners",20000,8100,7683,23287,94,21890
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Backhoe Attachment R2","Account.010","2020-06-19","2019-10-23","Ohana Technologies","Partner","Acme Partners SA_Yearly18_2019-10-23","Technology","Upcoming Renewal","Acme Partners",17500,20500,19406,18860,110,20746
"Active","Attachments","Paul Partner","0013h00000CPh6xAAD","Backhoe Attachment R1","Account.045","2020-06-19","2019-01-18","Ohana Technologies","Mid-Market","Momentum Design SA_Quarterly18_2019-01-18","Financial Services","Pending Approval","Momentum Design",17500,19500,16798,19985,99,19785
"Expired","Attachments","Vance Channel","0013h00000CPh5uAAD","Pulverizer P10","Account.052","2020-06-19","2019-08-13","Ohana Technologies","Enterprise","Red Studio Designs SA_Monthly6_2019-08-13","Communications","Approved","Red Studio Designs",35000,4500,4221,32109,108,34678
"Active","Attachments","Ely East","0013h00000CPh5tAAD","Compactor 9500","Account.054","2020-06-19","2020-01-04","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Yearly6_2020-01-04","Manufacturing","Upcoming Renewal","Tech Labs",15000,13000,12373,17187,92,15812
"Expired","Attachments","Ricky East","0013h00000CPh5mAAD","Ripper 34","Account.011","2020-06-19","2019-04-03","Advanced Communications","Mid-Market","Meridian Partners SA_Yearly6_2019-04-03","Technology","Approved","Meridian Partners",32500,1350,1251,39391,91,35846
"Active","Attachments","Cindy Central","0013h00000CPh5nAAD","Trencher T60","Account.001","2020-06-19","2020-02-12","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Quarterly6_2020-02-12","Technology","Upcoming Renewal","Ohana Incorporated.",10000,9000,7914,13747,85,11685
"Active","Attachments","Kasey Central","0013h00000CPh77AAD","Ripper 27","Account.046","2020-06-19","2020-08-03","Advanced Communications","Enterprise","Silodyne Company SA_Monthly12_2020-08-03","Healthcare & Life Sciences","Pending Approval","Silodyne Company",32500,1000,958,38685,89,34430
"Expired","Attachments","Kasey Central","0013h00000CPh6yAAD","Pickup Broom PB100","Account.044","2020-06-19","2020-05-09","Ohana Technologies","Small Business","Wellspring, Inc. SA_Monthly6_2020-05-09","Financial Services","Upcoming Renewal","Wellspring, Inc.",15000,6900,5787,16774,105,17613
"Active","Attachments","Bill West","0013h00000CPh6hAAD","Ripper 19","Account.019","2020-06-19","2019-02-24","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Quarterly6_2019-02-24","Consumer","Approved","Haven Enterprises",30000,800,770,34805,94,32717
"Expired","Attachments","Cindy Central","0013h00000CPh76AAD","Compactor 3500","Account.059","2020-06-19","2020-12-20","Advanced Communications","Mid-Market","Integrity Systems SA_Yearly6_2020-12-20","Technology","Approved","Integrity Systems",15000,5750,5621,16695,102,17029
"Active","Attachments","Cindy Central","0013h00000CPh76AAD","Ripper 34","Account.059","2020-06-19","2019-03-07","Advanced Communications","Mid-Market","Integrity Systems SA_Monthly6_2019-03-07","Technology","Upcoming Renewal","Integrity Systems",35000,1350,1287,38796,102,39572
"Active","Attachments","Kasey Central","0013h00000CPh6yAAD","Compactor 3500","Account.044","2020-06-19","2020-03-18","Ohana Technologies","Small Business","Wellspring, Inc. SA_Quarterly18_2020-03-18","Financial Services","Upcoming Renewal","Wellspring, Inc.",37500,5750,5535,41966,105,44064
"Expired","Attachments","Paul Partner","0013h00000CPh6xAAD","Trencher T48","Account.045","2020-06-19","2020-07-15","Ohana Technologies","Mid-Market","Momentum Design SA_Yearly6_2020-07-15","Financial Services","Pending Approval","Momentum Design",22500,6400,5773,25387,99,25133
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Ripper 37","Account.010","2020-06-19","2019-04-19","Ohana Technologies","Partner","Acme Partners SA_Quarterly12_2019-04-19","Technology","Approved","Acme Partners",25000,2000,1883,28169,102,28732
"Expired","Attachments","Vance Channel","0013h00000CPh5kAAD","Backhoe Attachment R2","Account.010","2020-06-19","2020-07-01","Ohana Technologies","Partner","Acme Partners SA_Monthly12_2020-07-01","Technology","Upcoming Renewal","Acme Partners",37500,20500,19732,40062,110,44068
"Active","Attachments","Kasey Central","0013h00000CPh77AAD","Backhoe Attachment R2","Account.046","2020-06-19","2020-08-06","Advanced Communications","Enterprise","Silodyne Company SA_Yearly6_2020-08-06","Healthcare & Life Sciences","Approved","Silodyne Company",30000,20500,17315,35236,89,31360
"Expired","Attachments","Ricky East","0013h00000CPh5mAAD","Pulverizer P10","Account.011","2020-06-19","2019-11-23","Advanced Communications","Mid-Market","Meridian Partners SA_Yearly6_2019-11-23","Technology","Pending Approval","Meridian Partners",5000,4500,4290,5640,91,5132
"Active","Attachments","Bill West","0013h00000CPh6hAAD","Compactor 9500","Account.019","2020-06-19","2020-06-03","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Quarterly18_2020-06-03","Consumer","Upcoming Renewal","Haven Enterprises",15000,13000,11646,17376,94,16333
"Active","Attachments","Ely East","0013h00000CPh5tAAD","Ripper 19","Account.054","2020-06-19","2020-10-01","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Monthly18_2020-10-01","Manufacturing","Upcoming Renewal","Tech Labs",20000,800,666,23253,92,21393
"Expired","Attachments","Cindy Central","0013h00000CPh5nAAD","Pickup Broom PB200","Account.001","2020-06-19","2019-05-20","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Yearly12_2019-05-20","Technology","Approved","Ohana Incorporated.",7500,7500,7150,10248,85,8711
"Active","Attachments","Vance Channel","0013h00000CPh5uAAD","Trencher T36","Account.052","2020-06-19","2019-07-31","Ohana Technologies","Enterprise","Red Studio Designs SA_Monthly6_2019-07-31","Communications","Upcoming Renewal","Red Studio Designs",20000,6000,5962,18380,108,19850
"Expired","Attachments","Kasey Central","0013h00000CPh6yAAD","Pulverizer P20","Account.044","2020-06-19","2019-08-18","Ohana Technologies","Small Business","Wellspring, Inc. SA_Quarterly18_2019-08-18","Financial Services","Approved","Wellspring, Inc.",37500,4750,4465,41876,105,43970
"Active","Attachments","Bill West","0013h00000CPh6hAAD","Backhoe Attachment R1","Account.019","2020-06-19","2020-01-24","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Quarterly18_2020-01-24","Consumer","Upcoming Renewal","Haven Enterprises",5000,19500,18767,5783,94,5436
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Utility Broom UB1000","Account.010","2020-06-19","2019-10-29","Ohana Technologies","Partner","Acme Partners SA_Yearly18_2019-10-29","Technology","Pending Approval","Acme Partners",37500,4500,4088,43360,92,39891
"Expired","Attachments","Ricky East","0013h00000CPh5mAAD","Sweeper S1000","Account.011","2020-06-19","2020-04-02","Advanced Communications","Mid-Market","Meridian Partners SA_Monthly6_2020-04-02","Technology","Approved","Meridian Partners",10000,7500,7130,12296,91,11189
"Active","Attachments","Ely East","0013h00000CPh5tAAD","Pickup Broom PB100","Account.054","2020-06-19","2019-09-10","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Monthly18_2019-09-10","Manufacturing","Upcoming Renewal","Tech Labs",10000,6900,6049,11628,92,10698
"Expired","Attachments","Kasey Central","0013h00000CPh77AAD","Compactor 9000","Account.046","2020-06-19","2019-02-10","Advanced Communications","Enterprise","Silodyne Company SA_Yearly12_2019-02-10","Healthcare & Life Sciences","Upcoming Renewal","Silodyne Company",40000,8100,6786,47182,89,41992
"Active","Attachments","Cindy Central","0013h00000CPh5nAAD","Hammer H700","Account.001","2020-06-19","2020-12-15","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Quarterly18_2020-12-15","Technology","Pending Approval","Ohana Incorporated.",32500,5750,5522,44229,85,37595
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Utility Broom UB1000","Account.010","2020-06-19","2020-12-07","Ohana Technologies","Partner","Acme Partners SA_Monthly6_2020-12-07","Technology","Approved","Acme Partners",40000,4500,4200,42655,110,46920
"Expired","Attachments","Vance Channel","0013h00000CPh5uAAD","Trencher T60","Account.052","2020-06-19","2019-06-15","Ohana Technologies","Enterprise","Red Studio Designs SA_Yearly6_2019-06-15","Communications","Approved","Red Studio Designs",40000,9000,8627,36886,108,39837
"Active","Attachments","Cindy Central","0013h00000CPh76AAD","Ripper 27","Account.059","2020-06-19","2020-09-21","Advanced Communications","Mid-Market","Integrity Systems SA_Quarterly12_2020-09-21","Technology","Upcoming Renewal","Integrity Systems",12500,1000,943,14049,102,14330
"Active","Attachments","Paul Partner","0013h00000CPh6xAAD","Hammer H500","Account.045","2020-06-19","2019-12-02","Ohana Technologies","Mid-Market","Momentum Design SA_Quarterly12_2019-12-02","Financial Services","Pending Approval","Momentum Design",22500,4200,3725,25348,99,25095
"Expired","Attachments","Kasey Central","0013h00000CPh77AAD","Hammer H500","Account.046","2020-06-19","2020-11-06","Advanced Communications","Enterprise","Silodyne Company SA_Monthly18_2020-11-06","Healthcare & Life Sciences","Approved","Silodyne Company",25000,4200,3950,29408,89,26173
"Active","Attachments","Vance Channel","0013h00000CPh5uAAD","Trencher T48","Account.052","2020-06-19","2020-02-22","Ohana Technologies","Enterprise","Red Studio Designs SA_Yearly12_2020-02-22","Communications","Upcoming Renewal","Red Studio Designs",27500,6400,6190,25582,108,27629
"Expired","Attachments","Vance Channel","0013h00000CPh5kAAD","Ripper 27","Account.010","2020-06-19","2020-05-18","Ohana Technologies","Partner","Acme Partners SA_Yearly12_2020-05-18","Technology","Upcoming Renewal","Acme Partners",27500,1000,965,31106,99,30795
"Active","Attachments","Kasey Central","0013h00000CPh6yAAD","Compactor 9500","Account.044","2020-06-19","2019-01-15","Ohana Technologies","Small Business","Wellspring, Inc. SA_Monthly12_2019-01-15","Financial Services","Upcoming Renewal","Wellspring, Inc.",25000,13000,12341,27999,105,29399
"Active","Attachments","Ely East","0013h00000CPh5tAAD","Compactor 3500","Account.054","2020-06-19","2019-11-29","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Quarterly18_2019-11-29","Manufacturing","Approved","Tech Labs",5000,5750,5445,5811,92,5346
"Expired","Attachments","Paul Partner","0013h00000CPh6xAAD","Hammer H700","Account.045","2020-06-19","2019-06-19","Ohana Technologies","Mid-Market","Momentum Design SA_Quarterly18_2019-06-19","Financial Services","Pending Approval","Momentum Design",27500,5750,5292,31019,99,30709
"Active","Attachments","Cindy Central","0013h00000CPh5nAAD","Pickup Broom PB200","Account.001","2020-06-19","2020-08-05","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Monthly18_2020-08-05","Technology","Upcoming Renewal","Ohana Incorporated.",27500,7500,6992,37709,85,32053
"Expired","Attachments","Bill West","0013h00000CPh6hAAD","Sweeper S1000","Account.019","2020-06-19","2020-06-13","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Yearly6_2020-06-13","Consumer","Approved","Haven Enterprises",32500,7500,7345,37911,94,35636
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Pickup Broom PB100","Account.010","2020-06-19","2019-05-13","Ohana Technologies","Partner","Acme Partners SA_Monthly12_2019-05-13","Technology","Upcoming Renewal","Acme Partners",7500,6900,6452,8068,110,8875
"Active","Attachments","Ricky East","0013h00000CPh5mAAD","Trencher T60","Account.011","2020-06-19","2019-10-24","Advanced Communications","Mid-Market","Meridian Partners SA_Yearly6_2019-10-24","Technology","Approved","Meridian Partners",25000,9000,7985,28220,91,25680
"Expired","Attachments","Cindy Central","0013h00000CPh76AAD","Utility Broom UB1000","Account.059","2020-06-19","2020-01-15","Advanced Communications","Mid-Market","Integrity Systems SA_Quarterly12_2020-01-15","Technology","Upcoming Renewal","Integrity Systems",5000,4500,4402,5558,102,5669
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Pulverizer P20","Account.010","2020-06-19","2019-04-24","Ohana Technologies","Partner","Acme Partners SA_Quarterly18_2019-04-24","Technology","Pending Approval","Acme Partners",37500,4750,4533,40273,110,44300
"Expired","Attachments","Kasey Central","0013h00000CPh77AAD","Pickup Broom PB100","Account.046","2020-06-19","2020-04-30","Advanced Communications","Enterprise","Silodyne Company SA_Monthly12_2020-04-30","Healthcare & Life Sciences","Approved","Silodyne Company",40000,6900,6535,46781,89,41635
"Active","Attachments","Vance Channel","0013h00000CPh5uAAD","Backhoe Attachment R2","Account.052","2020-06-19","2019-04-13","Ohana Technologies","Enterprise","Red Studio Designs SA_Yearly12_2019-04-13","Communications","Upcoming Renewal","Red Studio Designs",17500,20500,19603,16094,108,17382
"Expired","Attachments","Paul Partner","0013h00000CPh6xAAD","Backhoe Attachment R1","Account.045","2020-06-19","2020-05-12","Ohana Technologies","Mid-Market","Momentum Design SA_Quarterly12_2020-05-12","Financial Services","Approved","Momentum Design",15000,19500,19025,16829,99,16661
"Active","Attachments","Cindy Central","0013h00000CPh5nAAD","Pulverizer P20","Account.001","2020-06-19","2020-02-18","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Monthly12_2020-02-18","Technology","Pending Approval","Ohana Incorporated.",22500,4750,4495,30525,85,25946
"Active","Attachments","Ely East","0013h00000CPh5tAAD","Ripper 37","Account.054","2020-06-19","2019-07-29","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Yearly6_2019-07-29","Manufacturing","Upcoming Renewal","Tech Labs",20000,2000,1925,23229,92,21371
"Expired","Attachments","Kasey Central","0013h00000CPh6yAAD","Compactor 9000","Account.044","2020-06-19","2019-08-03","Ohana Technologies","Small Business","Wellspring, Inc. SA_Yearly6_2019-08-03","Financial Services","Upcoming Renewal","Wellspring, Inc.",25000,8100,7750,27427,105,28798
"Active","Attachments","Bill West","0013h00000CPh6hAAD","Pulverizer P10","Account.019","2020-06-19","2019-03-19","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Monthly12_2019-03-19","Consumer","Approved","Haven Enterprises",5000,4500,4310,5831,94,5481
"Expired","Attachments","Ricky East","0013h00000CPh5mAAD","Ripper 34","Account.011","2020-06-19","2020-09-17","Advanced Communications","Mid-Market","Meridian Partners SA_Quarterly18_2020-09-17","Technology","Pending Approval","Meridian Partners",7500,1350,1214,9026,91,8214
"Active","Attachments","Cindy Central","0013h00000CPh76AAD","Trencher T36","Account.059","2020-06-19","2019-12-10","Advanced Communications","Mid-Market","Integrity Systems SA_Quarterly18_2019-12-10","Technology","Upcoming Renewal","Integrity Systems",22500,6000,5812,24935,102,25434
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Ripper 19","Account.010","2020-06-19","2019-02-03","Ohana Technologies","Partner","Acme Partners SA_Yearly6_2019-02-03","Technology","Approved","Acme Partners",37500,800,777,34962,108,37759
"Expired","Attachments","Cindy Central","0013h00000CPh5nAAD","Trencher T36","Account.001","2020-06-19","2020-11-05","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Monthly18_2020-11-05","Technology","Upcoming Renewal","Ohana Incorporated.",37500,6000,5626,51349,85,43647
"Active","Attachments","Kasey Central","0013h00000CPh77AAD","Ripper 19","Account.046","2020-06-19","2019-09-04","Advanced Communications","Enterprise","Silodyne Company SA_Monthly6_2019-09-04","Healthcare & Life Sciences","Approved","Silodyne Company",35000,800,777,40554,89,36093
"Expired","Attachments","Bill West","0013h00000CPh6hAAD","Ripper 34","Account.019","2020-06-19","2019-01-22","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Yearly6_2019-01-22","Consumer","Upcoming Renewal","Haven Enterprises",27500,1350,1271,32114,94,30187
"Active","Attachments","Ely East","0013h00000CPh5tAAD","Pulverizer P20","Account.054","2020-06-19","2020-03-03","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Quarterly18_2020-03-03","Manufacturing","Pending Approval","Tech Labs",40000,4750,4191,45715,92,42058
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Trencher T60","Account.010","2020-06-19","2020-07-06","Ohana Technologies","Partner","Acme Partners SA_Yearly6_2020-07-06","Technology","Approved","Acme Partners",5000,9000,8511,5346,110,5881
"Expired","Attachments","Kasey Central","0013h00000CPh6yAAD","Trencher T60","Account.044","2020-06-19","2020-10-13","Ohana Technologies","Small Business","Wellspring, Inc. SA_Monthly6_2020-10-13","Financial Services","Upcoming Renewal","Wellspring, Inc.",37500,9000,8448,41493,105,43568
"Active","Attachments","Paul Partner","0013h00000CPh6xAAD","Hammer H500","Account.045","2020-06-19","2020-12-07","Ohana Technologies","Mid-Market","Momentum Design SA_Quarterly6_2020-12-07","Financial Services","Upcoming Renewal","Momentum Design",37500,4200,3724,42639,99,42213
"Expired","Attachments","Vance Channel","0013h00000CPh5kAAD","Compactor 9500","Account.010","2020-06-19","2019-05-07","Ohana Technologies","Partner","Acme Partners SA_Monthly18_2019-05-07","Technology","Pending Approval","Acme Partners",7500,13000,12457,8245,105,8657
"Active","Attachments","Vance Channel","0013h00000CPh5uAAD","Backhoe Attachment R1","Account.052","2020-06-19","2020-07-30","Ohana Technologies","Enterprise","Red Studio Designs SA_Yearly18_2020-07-30","Communications","Upcoming Renewal","Red Studio Designs",15000,19500,19092,14126,108,15256
"Active","Attachments","Cindy Central","0013h00000CPh76AAD","Hammer H700","Account.059","2020-06-19","2020-05-27","Advanced Communications","Mid-Market","Integrity Systems SA_Quarterly18_2020-05-27","Technology","Approved","Integrity Systems",12500,5750,5441,13975,102,14255
"Expired","Attachments","Ricky East","0013h00000CPh5mAAD","Trencher T48","Account.011","2020-06-19","2020-12-31","Advanced Communications","Mid-Market","Meridian Partners SA_Monthly12_2020-12-31","Technology","Upcoming Renewal","Meridian Partners",7500,6400,6147,8487,91,7723
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Pickup Broom PB100","Account.010","2020-06-19","2020-06-19","Ohana Technologies","Partner","Acme Partners SA_Yearly6_2020-06-19","Technology","Approved","Acme Partners",17500,6900,5909,18750,110,20625
"Active","Attachments","Paul Partner","0013h00000CPh6xAAD","Pulverizer P10","Account.045","2020-06-19","2019-06-30","Ohana Technologies","Mid-Market","Momentum Design SA_Quarterly18_2019-06-30","Financial Services","Approved","Momentum Design",10000,4500,3960,11399,99,11285
"Expired","Attachments","Cindy Central","0013h00000CPh5nAAD","Ripper 37","Account.001","2020-06-19","2020-03-21","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Yearly12_2020-03-21","Technology","Pending Approval","Ohana Incorporated.",7500,2000,1928,10314,85,8767
"Active","Attachments","Bill West","0013h00000CPh6hAAD","Ripper 27","Account.019","2020-06-19","2020-10-23","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Quarterly6_2020-10-23","Consumer","Upcoming Renewal","Haven Enterprises",37500,1000,821,43768,94,41142
"Expired","Attachments","Ricky East","0013h00000CPh5mAAD","Utility Broom UB1000","Account.011","2020-06-19","2020-09-23","Advanced Communications","Mid-Market","Meridian Partners SA_Monthly18_2020-09-23","Technology","Upcoming Renewal","Meridian Partners",17500,4500,4269,21166,91,19261
"Active","Attachments","Ely East","0013h00000CPh5tAAD","Compactor 9000","Account.054","2020-06-19","2019-10-10","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Quarterly12_2019-10-10","Manufacturing","Approved","Tech Labs",12500,8100,7928,14391,92,13240
"Expired","Attachments","Kasey Central","0013h00000CPh6yAAD","Sweeper S1000","Account.044","2020-06-19","2019-01-30","Ohana Technologies","Small Business","Wellspring, Inc. SA_Yearly6_2019-01-30","Financial Services","Upcoming Renewal","Wellspring, Inc.",27500,7500,7069,30130,105,31636
"Active","Attachments","Cindy Central","0013h00000CPh76AAD","Compactor 3500","Account.059","2020-06-19","2020-01-25","Advanced Communications","Mid-Market","Integrity Systems SA_Monthly18_2020-01-25","Technology","Pending Approval","Integrity Systems",7500,5750,5197,8449,102,8618
"Active","Attachments","Vance Channel","0013h00000CPh5uAAD","Backhoe Attachment R2","Account.052","2020-06-19","2019-03-07","Ohana Technologies","Enterprise","Red Studio Designs SA_Monthly6_2019-03-07","Communications","Upcoming Renewal","Red Studio Designs",37500,20500,19740,34515,108,37276
"Expired","Attachments","Kasey Central","0013h00000CPh77AAD","Pickup Broom PB200","Account.046","2020-06-19","2019-04-29","Advanced Communications","Enterprise","Silodyne Company SA_Yearly18_2019-04-29","Healthcare & Life Sciences","Approved","Silodyne Company",17500,7500,7033,20335,89,18098
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Ripper 37","Account.010","2020-06-19","2019-01-11","Ohana Technologies","Partner","Acme Partners SA_Quarterly12_2019-01-11","Technology","Upcoming Renewal","Acme Partners",30000,2000,1701,32255,110,35481
"Active","Attachments","Ely East","0013h00000CPh5tAAD","Ripper 37","Account.054","2020-06-19","2019-09-27","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Quarterly6_2019-09-27","Manufacturing","Pending Approval","Tech Labs",32500,2000,1670,37564,92,34559
"Expired","Attachments","Vance Channel","0013h00000CPh5kAAD","Trencher T36","Account.010","2020-06-19","2020-11-08","Ohana Technologies","Partner","Acme Partners SA_Yearly12_2020-11-08","Technology","Approved","Acme Partners",12500,6000,5723,13382,110,14720
"Active","Attachments","Paul Partner","0013h00000CPh6xAAD","Trencher T48","Account.045","2020-06-19","2020-07-14","Ohana Technologies","Mid-Market","Momentum Design SA_Monthly12_2020-07-14","Financial Services","Upcoming Renewal","Momentum Design",22500,6400,6118,25586,99,25330
"Expired","Attachments","Kasey Central","0013h00000CPh6yAAD","Hammer H700","Account.044","2020-06-19","2020-08-14","Ohana Technologies","Small Business","Wellspring, Inc. SA_Quarterly18_2020-08-14","Financial Services","Approved","Wellspring, Inc.",15000,5750,4958,16636,105,17468
"Active","Attachments","Ricky East","0013h00000CPh5mAAD","Backhoe Attachment R2","Account.011","2020-06-19","2019-11-14","Advanced Communications","Mid-Market","Meridian Partners SA_Monthly18_2019-11-14","Technology","Upcoming Renewal","Meridian Partners",17500,20500,19749,21391,91,19466
"Expired","Attachments","Vance Channel","0013h00000CPh5kAAD","Pulverizer P10","Account.010","2020-06-19","2020-02-20","Ohana Technologies","Partner","Acme Partners SA_Yearly12_2020-02-20","Technology","Approved","Acme Partners",17500,4500,4370,20726,89,18446
"Active","Attachments","Cindy Central","0013h00000CPh5nAAD","Ripper 19","Account.001","2020-06-19","2019-05-09","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Monthly12_2019-05-09","Technology","Upcoming Renewal","Ohana Incorporated.",15000,800,664,20328,85,17279
"Active","Attachments","Cindy Central","0013h00000CPh76AAD","Pulverizer P20","Account.059","2020-06-19","2019-12-26","Advanced Communications","Mid-Market","Integrity Systems SA_Yearly18_2019-12-26","Technology","Pending Approval","Integrity Systems",35000,4750,4483,38878,102,39656
"Expired","Attachments","Vance Channel","0013h00000CPh5uAAD","Pickup Broom PB100","Account.052","2020-06-19","2020-11-09","Ohana Technologies","Enterprise","Red Studio Designs SA_Quarterly12_2020-11-09","Communications","Approved","Red Studio Designs",7500,6900,6560,6919,108,7472
"Active","Attachments","Bill West","0013h00000CPh6hAAD","Trencher T60","Account.019","2020-06-19","2019-08-28","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Yearly18_2019-08-28","Consumer","Upcoming Renewal","Haven Enterprises",25000,9000,8529,29188,94,27437
"Active","Attachments","Kasey Central","0013h00000CPh77AAD","Hammer H500","Account.046","2020-06-19","2019-02-02","Advanced Communications","Enterprise","Silodyne Company SA_Monthly12_2019-02-02","Healthcare & Life Sciences","Upcoming Renewal","Silodyne Company",40000,4200,4050,47618,89,42380
"Expired","Attachments","Cindy Central","0013h00000CPh5nAAD","Sweeper S1000","Account.001","2020-06-19","2020-04-17","Ohana Technologies","Enterprise","Ohana Incorporated. SA_Quarterly6_2020-04-17","Technology","Approved","Ohana Incorporated.",37500,7500,7319,51213,85,43531
"Active","Attachments","Vance Channel","0013h00000CPh5uAAD","Utility Broom UB1000","Account.052","2020-06-19","2019-07-06","Ohana Technologies","Enterprise","Red Studio Designs SA_Yearly6_2019-07-06","Communications","Pending Approval","Red Studio Designs",30000,4500,4357,28108,108,30357
