"Status","Variable","Opportunity","Weighted_Pipeline"
"Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",14560
"Pre-Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",1856
"Optimized","Executive Sponsorship","Advanced Communications - Value Reporting",14561
"Max","Prototype","Big Sky & Sons - Building Advisor",
"Optimized","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",14564
"Max","Prototype","Ohana Insurance - CX Enclosures",
"Pre-Optimized","Expert Consultation","UlyssesNet - Smart Alarm 2",1859
"Pre-Optimized","Prototype","Goodman Imports - Set Series",1860
"Pre-Optimized","Prototype","AJC Corporation - EcoStruxure Grid",1858
"Pre-Optimized","Expert Consultation","Goodman Imports - Set Series",1860
"Max","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",
"Pre-Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",1858
"Pre-Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",1860
"Pre-Optimized","Executive Sponsorship","Allied Technologies - Value Reporting",1858
"Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",14560
"Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",14559
"Max","Executive Sponsorship","Towson Inc. - Pressure Sensors",
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1860
"Pre-Optimized","Prototype","Permadyne - Rack Power Distribution",1859
"Optimized","Expert Consultation","Amptech Corporation - EcosStruxure Monitoring",14559
"Optimized","Expert Consultation","AJC Corporation - EcoStruxure Grid",14559
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1862
"Pre-Optimized","Prototype","Big Sky & Sons - Building Advisor",1860
"Pre-Optimized","Executive Sponsorship","Goodman Imports - Set Series",1858
"Max","Executive Sponsorship","Aims Social Inc. - Smart Alarm",
"Optimized","Prototype","Biospan LLC. - Pact Series",14561
"Max","Prototype","UlyssesNet - Smart Alarm 2",
"Pre-Optimized","Prototype","Advanced Communications - Value Reporting",1857
"Pre-Optimized","Executive Sponsorship","Red Studio Designs - Sustainability advice",1855
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1861
"Pre-Optimized","Executive Sponsorship","Advanced Communications - Value Reporting",1859
"Pre-Optimized","Prototype","Towson Inc. - Pressure Sensors",1857
"Max","Prototype","UlyssesNet - Smart Alarm 2",
"Pre-Optimized","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",1861
"Optimized","Expert Consultation","Permadyne - Rack Power Distribution",14560
"Pre-Optimized","Expert Consultation","Advanced Communications - Value Reporting",1859
"Pre-Optimized","Expert Consultation","UlyssesNet - Smart Alarm 2",1861
"Optimized","Prototype","Biospan LLC. - Pact Series",14560
"Max","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",
"Pre-Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",1858
"Pre-Optimized","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",1861
"Pre-Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",1859
"Max","Expert Consultation","Amptech Corporation - EcosStruxure Monitoring",
"Pre-Optimized","Prototype","UlyssesNet - Smart Alarm 2",1854
"Optimized","Prototype","AJC Corporation - EcoStruxure Grid",14561
"Max","Executive Sponsorship","Biospan LLC. - Pact Series",
"Pre-Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",1859
"Pre-Optimized","Expert Consultation","Aims Social Inc. - Smart Alarm",1861
"Pre-Optimized","Executive Sponsorship","Permadyne - Rack Power Distribution",1859
"Pre-Optimized","Prototype","Permadyne - Rack Power Distribution",1860
"Max","Executive Sponsorship","Aims Social Inc. - Smart Alarm",
"Pre-Optimized","Executive Sponsorship","Goodman Imports - Set Series",1860
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1858
"Pre-Optimized","Expert Consultation","UlyssesNet - Smart Alarm 2",1859
"Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",14560
"Max","Executive Sponsorship","Red Studio Designs - Sustainability advice",
"Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",14562
"Max","Expert Consultation","Amptech Corporation - EcosStruxure Monitoring",
"Pre-Optimized","Executive Sponsorship","Towson Inc. - Pressure Sensors",1858
"Max","Prototype","Red Studio Designs - Sustainability advice",
"Pre-Optimized","Expert Consultation","Aims Social Inc. - Smart Alarm",1860
"Pre-Optimized","Prototype","Silodyne Company - SpaceLogic ASP",1859
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1859
"Pre-Optimized","Executive Sponsorship","Goodman Imports - Set Series",1860
"Pre-Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",1856
"Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",14559
"Pre-Optimized","Executive Sponsorship","Silodyne Company - SpaceLogic ASP",1858
"Max","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",
"Pre-Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",1859
"Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",14559
"Pre-Optimized","Expert Consultation","Permadyne - Rack Power Distribution",1857
"Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",14560
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1863
"Max","Expert Consultation","Big Sky & Sons - Building Advisor",
"Optimized","Expert Consultation","Biospan LLC. - Pact Series",14563
"Max","Executive Sponsorship","Big Sky & Sons - Building Advisor",
"Pre-Optimized","Expert Consultation","Associated Supply Co. - EcoStruxure PowerLogic",1859
"Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",14557
"Optimized","Executive Sponsorship","Red Studio Designs - Sustainability advice",14563
"Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",14564
"Pre-Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",1858
"Pre-Optimized","Expert Consultation","Advanced Communications - Value Reporting",1854
"Max","Prototype","Goodman Imports - Set Series",
"Pre-Optimized","Expert Consultation","Allied Technologies - Value Reporting",1860
"Max","Expert Consultation","Amptech Corporation - EcosStruxure Monitoring",
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1858
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1860
"Max","Expert Consultation","Permadyne - Rack Power Distribution",
"Pre-Optimized","Executive Sponsorship","Silodyne Company - SpaceLogic ASP",1857
"Optimized","Executive Sponsorship","Red Studio Designs - Sustainability advice",14563
"Pre-Optimized","Prototype","UlyssesNet - Smart Alarm 2",1856
"Pre-Optimized","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",1860
"Pre-Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",1861
"Optimized","Prototype","Amptech Corporation - EcosStruxure Monitoring",14563
"Pre-Optimized","Prototype","Allied Technologies - Value Reporting",1862
"Pre-Optimized","Prototype","Amptech Corporation - EcosStruxure Monitoring",1857
"Pre-Optimized","Executive Sponsorship","Towson Inc. - Pressure Sensors",1857
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1861
"Optimized","Expert Consultation","Allied Technologies - Value Reporting",14560
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1859
"Max","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",
"Pre-Optimized","Expert Consultation","Aims Social Inc. - Smart Alarm",1859
"Pre-Optimized","Prototype","Towson Inc. - Pressure Sensors",1857
"Pre-Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",1859
"Pre-Optimized","Executive Sponsorship","Goodman Imports - Set Series",1857
"Pre-Optimized","Executive Sponsorship","Goodman Imports - Set Series",1862
"Pre-Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",1859
"Max","Executive Sponsorship","Biospan LLC. - Pact Series",
"Pre-Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",1859
"Pre-Optimized","Prototype","Advanced Communications - Value Reporting",1864
"Pre-Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",1856
"Pre-Optimized","Prototype","Red Studio Designs - Sustainability advice",1857
"Pre-Optimized","Prototype","Silodyne Company - SpaceLogic ASP",1861
"Pre-Optimized","Executive Sponsorship","Advanced Communications - Value Reporting",1860
"Pre-Optimized","Executive Sponsorship","Permadyne - Rack Power Distribution",1858
"Pre-Optimized","Executive Sponsorship","Allied Technologies - Value Reporting",1859
"Max","Prototype","Allied Technologies - Value Reporting",
"Optimized","Prototype","AJC Corporation - EcoStruxure Grid",14559
"Pre-Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",1856
"Pre-Optimized","Prototype","Biospan LLC. - Pact Series",1858
"Pre-Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",1862
"Pre-Optimized","Executive Sponsorship","Towson Inc. - Pressure Sensors",1859
"Max","Expert Consultation","Silodyne Company - SpaceLogic ASP",
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1863
"Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",14564
"Optimized","Expert Consultation","Permadyne - Rack Power Distribution",14560
"Pre-Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",1860
"Pre-Optimized","Prototype","Big Sky & Sons - Building Advisor",1860
"Max","Prototype","Permadyne - Rack Power Distribution",
"Pre-Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",1861
"Pre-Optimized","Prototype","Red Studio Designs - Sustainability advice",1859
"Pre-Optimized","Prototype","Amptech Corporation - EcosStruxure Monitoring",1858
"Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",14561
"Pre-Optimized","Executive Sponsorship","Red Studio Designs - Sustainability advice",1860
"Optimized","Expert Consultation","Biospan LLC. - Pact Series",14562
"Pre-Optimized","Prototype","Allied Technologies - Value Reporting",1858
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1859
"Max","Executive Sponsorship","Ohana Insurance - CX Enclosures",
"Pre-Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",1858
"Pre-Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",1858
"Max","Expert Consultation","Plasmosis Inc. - Value Reporting",
"Max","Executive Sponsorship","Aims Social Inc. - Smart Alarm",
"Max","Prototype","AJC Corporation - EcoStruxure Grid",
"Pre-Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",1859
"Max","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",
"Pre-Optimized","Expert Consultation","UlyssesNet - Smart Alarm 2",1860
"Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",14561
"Pre-Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",1854
"Pre-Optimized","Executive Sponsorship","Allied Technologies - Value Reporting",1858
"Pre-Optimized","Executive Sponsorship","Towson Inc. - Pressure Sensors",1863
"Max","Prototype","Ohana Insurance - CX Enclosures",
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1859
"Pre-Optimized","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",1860
"Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",14559
"Pre-Optimized","Prototype","Biospan LLC. - Pact Series",1858
"Max","Expert Consultation","Goodman Imports - Set Series",
"Pre-Optimized","Expert Consultation","UlyssesNet - Smart Alarm 2",1854
"Pre-Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",1861
"Pre-Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",1857
"Max","Expert Consultation","Ohana Insurance - CX Enclosures",
"Pre-Optimized","Prototype","Advanced Communications - Value Reporting",1857
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1859
"Max","Prototype","Plasmosis Inc. - Value Reporting",
"Pre-Optimized","Expert Consultation","Biospan LLC. - Pact Series",1854
"Optimized","Expert Consultation","Advanced Communications - Value Reporting",14563
"Pre-Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",1858
"Pre-Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",1858
"Max","Executive Sponsorship","Permadyne - Rack Power Distribution",
"Pre-Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",1862
"Pre-Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",1860
"Pre-Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",1861
"Max","Prototype","Anaco Limited - EcoStruxure 9-Series",
"Max","Prototype","UlyssesNet - Smart Alarm 2",
"Pre-Optimized","Prototype","Towson Inc. - Pressure Sensors",1858
"Pre-Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",1858
"Pre-Optimized","Prototype","Biospan LLC. - Pact Series",1859
"Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",14560
"Pre-Optimized","Prototype","AJC Corporation - EcoStruxure Grid",1860
"Pre-Optimized","Prototype","Towson Inc. - Pressure Sensors",1858
"Max","Executive Sponsorship","Advanced Communications - Value Reporting",
"Max","Executive Sponsorship","Advanced Communications - Value Reporting",
"Pre-Optimized","Expert Consultation","Biospan LLC. - Pact Series",1856
"Pre-Optimized","Prototype","UlyssesNet - Smart Alarm 2",1861
"Pre-Optimized","Executive Sponsorship","Goodman Imports - Set Series",1860
"Pre-Optimized","Expert Consultation","Advanced Communications - Value Reporting",1857
"Pre-Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",1861
"Pre-Optimized","Executive Sponsorship","Red Studio Designs - Sustainability advice",1856
"Max","Prototype","AJC Corporation - EcoStruxure Grid",
"Pre-Optimized","Executive Sponsorship","Amptech Corporation - EcosStruxure Monitoring",1860
"Max","Executive Sponsorship","UlyssesNet - Smart Alarm 2",
"Pre-Optimized","Executive Sponsorship","Allied Technologies - Value Reporting",1860
"Pre-Optimized","Prototype","Red Studio Designs - Sustainability advice",1861
"Max","Prototype","Red Studio Designs - Sustainability advice",
"Pre-Optimized","Executive Sponsorship","Advanced Communications - Value Reporting",1861
"Pre-Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",1856
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1860
"Optimized","Expert Consultation","Aims Social Inc. - Smart Alarm",14561
"Max","Expert Consultation","Towson Inc. - Pressure Sensors",
"Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",14559
"Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",14560
"Optimized","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",14560
"Pre-Optimized","Expert Consultation","Goodman Imports - Set Series",1860
"Optimized","Expert Consultation","Biospan LLC. - Pact Series",14562
"Pre-Optimized","Expert Consultation","UlyssesNet - Smart Alarm 2",1857
"Max","Prototype","UlyssesNet - Smart Alarm 2",
"Pre-Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",1862
"Max","Prototype","Permadyne - Rack Power Distribution",
"Max","Executive Sponsorship","Advanced Communications - Value Reporting",
"Pre-Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",1857
"Pre-Optimized","Executive Sponsorship","Advanced Communications - Value Reporting",1858
"Max","Prototype","Advanced Communications - Value Reporting",
"Optimized","Executive Sponsorship","Advanced Communications - Value Reporting",14560
"Pre-Optimized","Expert Consultation","Permadyne - Rack Power Distribution",1855
"Optimized","Executive Sponsorship","Amptech Corporation - EcosStruxure Monitoring",14559
"Pre-Optimized","Prototype","Allied Technologies - Value Reporting",1859
"Pre-Optimized","Prototype","UlyssesNet - Smart Alarm 2",1858
"Max","Prototype","Roseburg Products - Micro Pragma Enclosure",
"Pre-Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",1859
"Pre-Optimized","Prototype","Goodman Imports - Set Series",1862
"Optimized","Prototype","Permadyne - Rack Power Distribution",14561
"Pre-Optimized","Prototype","Allied Technologies - Value Reporting",1862
"Pre-Optimized","Executive Sponsorship","Allied Technologies - Value Reporting",1858
"Max","Executive Sponsorship","Advanced Communications - Value Reporting",
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1859
"Pre-Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",1858
"Pre-Optimized","Expert Consultation","AJC Corporation - EcoStruxure Grid",1857
"Optimized","Prototype","Plasmosis Inc. - Value Reporting",14560
"Pre-Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",1855
"Pre-Optimized","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",1858
"Pre-Optimized","Expert Consultation","Permadyne - Rack Power Distribution",1861
"Pre-Optimized","Expert Consultation","Allied Technologies - Value Reporting",1859
"Max","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",
"Max","Expert Consultation","Silodyne Company - SpaceLogic ASP",
"Pre-Optimized","Prototype","Big Sky & Sons - Building Advisor",1860
"Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",14560
"Pre-Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",1861
"Pre-Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",1859
"Pre-Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",1859
"Pre-Optimized","Expert Consultation","Amptech Corporation - EcosStruxure Monitoring",1859
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1858
"Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",14560
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1861
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1860
"Pre-Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",1861
"Pre-Optimized","Executive Sponsorship","Towson Inc. - Pressure Sensors",1861
"Optimized","Prototype","Permadyne - Rack Power Distribution",14561
"Pre-Optimized","Prototype","AJC Corporation - EcoStruxure Grid",1860
"Pre-Optimized","Prototype","Biospan LLC. - Pact Series",1861
"Pre-Optimized","Prototype","Towson Inc. - Pressure Sensors",1857
"Max","Expert Consultation","Red Studio Designs - Sustainability advice",
"Pre-Optimized","Executive Sponsorship","Silodyne Company - SpaceLogic ASP",1862
"Max","Expert Consultation","Amptech Corporation - EcosStruxure Monitoring",
"Pre-Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",1859
"Pre-Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",1860
"Pre-Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",1860
"Max","Expert Consultation","AJC Corporation - EcoStruxure Grid",
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1857
"Pre-Optimized","Prototype","Big Sky & Sons - Building Advisor",1857
"Pre-Optimized","Prototype","Big Sky & Sons - Building Advisor",1855
"Optimized","Prototype","Plasmosis Inc. - Value Reporting",14560
"Pre-Optimized","Executive Sponsorship","Red Studio Designs - Sustainability advice",1860
"Pre-Optimized","Prototype","Big Sky & Sons - Building Advisor",1865
"Max","Prototype","Permadyne - Rack Power Distribution",
"Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",14559
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1858
"Max","Expert Consultation","Advanced Communications - Value Reporting",
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1858
"Optimized","Prototype","Red Studio Designs - Sustainability advice",14559
"Max","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",
"Pre-Optimized","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",1857
"Pre-Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",1859
"Pre-Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",1857
"Pre-Optimized","Executive Sponsorship","Advanced Communications - Value Reporting",1856
"Max","Expert Consultation","Goodman Imports - Set Series",
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1858
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1860
"Pre-Optimized","Executive Sponsorship","Advanced Communications - Value Reporting",1862
"Pre-Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",1857
"Pre-Optimized","Expert Consultation","Biospan LLC. - Pact Series",1860
"Pre-Optimized","Prototype","Advanced Communications - Value Reporting",1860
"Pre-Optimized","Executive Sponsorship","Goodman Imports - Set Series",1858
"Pre-Optimized","Expert Consultation","Biospan LLC. - Pact Series",1857
"Max","Prototype","Plasmosis Inc. - Value Reporting",
"Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",14557
"Pre-Optimized","Prototype","Silodyne Company - SpaceLogic ASP",1857
"Pre-Optimized","Expert Consultation","Allied Technologies - Value Reporting",1861
"Optimized","Prototype","Advanced Communications - Value Reporting",14557
"Pre-Optimized","Expert Consultation","Aims Social Inc. - Smart Alarm",1862
"Pre-Optimized","Executive Sponsorship","Advanced Communications - Value Reporting",1857
"Pre-Optimized","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",1861
"Max","Expert Consultation","Permadyne - Rack Power Distribution",
"Pre-Optimized","Prototype","Big Sky & Sons - Building Advisor",1857
"Max","Expert Consultation","Big Sky & Sons - Building Advisor",
"Optimized","Prototype","Silodyne Company - SpaceLogic ASP",14559
"Max","Expert Consultation","AJC Corporation - EcoStruxure Grid",
"Pre-Optimized","Expert Consultation","Advanced Communications - Value Reporting",1862
"Max","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",
"Pre-Optimized","Executive Sponsorship","Towson Inc. - Pressure Sensors",1858
"Pre-Optimized","Prototype","Towson Inc. - Pressure Sensors",1860
"Max","Prototype","Allied Technologies - Value Reporting",
"Optimized","Expert Consultation","Permadyne - Rack Power Distribution",14557
"Optimized","Executive Sponsorship","Red Studio Designs - Sustainability advice",14556
"Max","Prototype","Anaco Limited - EcoStruxure 9-Series",
"Pre-Optimized","Prototype","UlyssesNet - Smart Alarm 2",1862
"Pre-Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",1860
"Pre-Optimized","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",1859
"Pre-Optimized","Expert Consultation","Allied Technologies - Value Reporting",1856
"Max","Expert Consultation","Aims Social Inc. - Smart Alarm",
"Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",14560
"Max","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",
"Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",14562
"Max","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",
"Optimized","Prototype","Plasmosis Inc. - Value Reporting",14558
"Pre-Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",1861
"Pre-Optimized","Prototype","Ohana Insurance - CX Enclosures",1858
"Optimized","Prototype","Aims Social Inc. - Smart Alarm",14561
"Pre-Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",1859
"Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",14558
"Pre-Optimized","Prototype","Amptech Corporation - EcosStruxure Monitoring",1859
"Optimized","Prototype","Ohana Insurance - CX Enclosures",14560
"Pre-Optimized","Prototype","Amptech Corporation - EcosStruxure Monitoring",1858
"Pre-Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",1859
"Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",14561
"Pre-Optimized","Prototype","Ohana Insurance - CX Enclosures",1864
"Max","Expert Consultation","Advanced Communications - Value Reporting",
"Max","Prototype","Biospan LLC. - Pact Series",
"Pre-Optimized","Expert Consultation","Aims Social Inc. - Smart Alarm",1856
"Pre-Optimized","Prototype","Allied Technologies - Value Reporting",1859
"Optimized","Prototype","Permadyne - Rack Power Distribution",14562
"Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",14561
"Pre-Optimized","Prototype","Amptech Corporation - EcosStruxure Monitoring",1862
"Pre-Optimized","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",1861
"Max","Executive Sponsorship","Aims Social Inc. - Smart Alarm",
"Optimized","Prototype","Towson Inc. - Pressure Sensors",14560
"Optimized","Prototype","Advanced Communications - Value Reporting",14562
"Pre-Optimized","Prototype","AJC Corporation - EcoStruxure Grid",1863
"Max","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",
"Pre-Optimized","Executive Sponsorship","Amptech Corporation - EcosStruxure Monitoring",1859
"Pre-Optimized","Expert Consultation","Goodman Imports - Set Series",1859
"Max","Prototype","Roseburg Products - Micro Pragma Enclosure",
"Optimized","Expert Consultation","Permadyne - Rack Power Distribution",14560
"Pre-Optimized","Expert Consultation","Biospan LLC. - Pact Series",1857
"Pre-Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",1860
"Pre-Optimized","Expert Consultation","Advanced Communications - Value Reporting",1860
"Optimized","Executive Sponsorship","Permadyne - Rack Power Distribution",14563
"Pre-Optimized","Prototype","Ohana Insurance - CX Enclosures",1860
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1859
"Pre-Optimized","Prototype","Biospan LLC. - Pact Series",1858
"Pre-Optimized","Expert Consultation","Advanced Communications - Value Reporting",1863
"Pre-Optimized","Prototype","Permadyne - Rack Power Distribution",1861
"Pre-Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",1860
"Max","Executive Sponsorship","Towson Inc. - Pressure Sensors",
"Pre-Optimized","Prototype","Big Sky & Sons - Building Advisor",1859
"Optimized","Expert Consultation","Advanced Communications - Value Reporting",14562
"Pre-Optimized","Prototype","Big Sky & Sons - Building Advisor",1857
"Pre-Optimized","Executive Sponsorship","Allied Technologies - Value Reporting",1860
"Max","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",
"Pre-Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",1857
"Optimized","Expert Consultation","Associated Supply Co. - EcoStruxure PowerLogic",14561
"Pre-Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",1857
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1859
"Max","Prototype","Advanced Communications - Value Reporting",
"Optimized","Executive Sponsorship","Amptech Corporation - EcosStruxure Monitoring",14556
"Pre-Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",1858
"Max","Expert Consultation","Towson Inc. - Pressure Sensors",
"Max","Prototype","Allied Technologies - Value Reporting",
"Pre-Optimized","Prototype","Permadyne - Rack Power Distribution",1861
"Max","Executive Sponsorship","Biospan LLC. - Pact Series",
"Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",14561
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1856
"Pre-Optimized","Expert Consultation","Amptech Corporation - EcosStruxure Monitoring",1860
"Optimized","Prototype","Ohana Insurance - CX Enclosures",14559
"Pre-Optimized","Prototype","Biospan LLC. - Pact Series",1860
"Optimized","Executive Sponsorship","Goodman Imports - Set Series",14559
"Max","Executive Sponsorship","Red Studio Designs - Sustainability advice",
"Pre-Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",1860
"Pre-Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",1856
"Pre-Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",1860
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1858
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1859
"Max","Prototype","Goodman Imports - Set Series",
"Pre-Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",1859
"Pre-Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",1860
"Pre-Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",1860
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1858
"Max","Executive Sponsorship","Amptech Corporation - EcosStruxure Monitoring",
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1855
"Pre-Optimized","Expert Consultation","AJC Corporation - EcoStruxure Grid",1859
